ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,384,149.0,38.0,149.11197916666666,38.768229166666664,0,1
1,2,565,170.0,48.0,170.24778761061947,47.952212389380534,0,2
1,3,441,137.0,54.0,134.56235827664398,51.244897959183675,0,3
1,4,390,193.0,52.0,194.74615384615385,53.212820512820514,0,4
1,5,420,114.0,58.0,113.03095238095239,59.009523809523813,0,5
1,6,219,149.0,70.0,149.59360730593608,69.602739726027394,0,6
1,7,545,207.0,74.0,203.70275229357799,75.383486238532114,0,7
1,8,392,178.0,77.0,176.88265306122449,79.806122448979593,0,8
1,9,842,99.0,89.0,97.020190023752974,83.853919239904982,0,9
1,10,252,214.0,91.0,213.45634920634922,91.071428571428569,0,10
1,11,98,179.0,100.0,178.75510204081633,100.0,0,11
1,12,609,147.0,102.0,147.08374384236453,102.58456486042692,0,12
1,13,395,120.0,111.0,120.63291139240506,108.01265822784811,0,13
1,14,471,94.0,118.0,93.57112526539278,117.48619957537154,0,14
1,15,489,185.0,118.0,183.75051124744377,117.80981595092024,0,15
1,16,584,206.0,126.0,208.9708904109589,119.92123287671232,0,16
1,17,350,132.0,127.0,132.11428571428573,126.42,0,17
1,18,361,166.0,138.0,164.5623268698061,136.04986149584488,0,18
1,19,518,106.0,138.0,106.10424710424711,138.20463320463321,0,19
1,20,234,192.0,139.0,192.72222222222223,139.85897435897436,0,20
1,21,360,143.0,145.0,142.16666666666666,146.22777777777779,0,21
1,22,422,180.0,159.0,180.15165876777252,158.45260663507108,0,22
1,23,487,124.0,158.0,124.43326488706366,158.27310061601642,0,23
1,24,486,159.0,160.0,156.65432098765433,161.06584362139918,0,24
2,1,661,153.0,56.0,156.16792738275339,56.910741301058998,0,1
2,2,436,131.0,63.0,131.05733944954127,61.639908256880737,0,2
2,3,183,183.0,76.0,182.47540983606558,75.907103825136616,0,3
2,4,313,120.0,81.0,119.8817891373802,79.645367412140573,0,4
2,5,105,213.0,80.0,212.59047619047618,80.295238095238091,0,5
2,6,370,193.0,86.0,194.10270270270271,84.38648648648649,0,6
2,7,776,98.0,85.0,97.970360824742272,85.539948453608247,0,7
