,ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Border
0,1,1,384,149.0,38.0,149.11197916666666,38.76822916666666,0,1,1.0
1,1,2,565,170.0,48.0,170.24778761061947,47.952212389380534,0,2,1.0
2,1,3,441,137.0,54.0,134.56235827664398,51.24489795918368,0,3,1.0
3,1,4,390,193.0,52.0,194.74615384615385,53.212820512820514,0,4,1.0
4,1,5,420,114.0,58.0,113.03095238095241,59.00952380952381,0,5,1.0
5,1,6,219,149.0,70.0,149.59360730593608,69.6027397260274,0,6,0.0
6,1,7,545,207.0,74.0,203.702752293578,75.38348623853211,0,7,1.0
7,1,8,392,178.0,77.0,176.8826530612245,79.80612244897958,0,8,0.0
8,1,9,842,99.0,89.0,97.02019002375296,83.85391923990498,0,9,1.0
9,1,10,252,214.0,91.0,213.4563492063492,91.07142857142858,0,10,1.0
10,1,11,98,179.0,100.0,178.7551020408163,100.0,0,11,0.0
11,1,12,609,147.0,102.0,147.08374384236453,102.58456486042692,0,12,0.0
12,1,13,395,120.0,111.0,120.63291139240508,108.01265822784814,0,13,0.0
13,1,14,471,94.0,118.0,93.57112526539278,117.48619957537156,0,14,1.0
14,1,15,489,185.0,118.0,183.75051124744374,117.80981595092024,0,15,0.0
15,1,16,584,206.0,126.0,208.9708904109589,119.92123287671231,0,16,1.0
16,1,17,350,132.0,127.0,132.11428571428573,126.42,0,17,0.0
17,1,18,361,166.0,138.0,164.5623268698061,136.04986149584488,0,18,0.0
18,1,19,518,106.0,138.0,106.10424710424714,138.2046332046332,0,19,1.0
19,1,20,234,192.0,139.0,192.72222222222226,139.85897435897436,0,20,1.0
20,1,21,360,143.0,145.0,142.16666666666666,146.22777777777782,0,21,1.0
21,1,22,422,180.0,159.0,180.1516587677725,158.45260663507108,0,22,1.0
22,1,23,487,124.0,158.0,124.43326488706366,158.2731006160164,0,23,1.0
23,1,24,486,159.0,160.0,156.6543209876543,161.06584362139918,0,24,1.0
24,2,1,661,153.0,56.0,156.16792738275342,56.910741301059,0,1,1.0
25,2,2,436,131.0,63.0,131.05733944954127,61.639908256880744,0,2,1.0
26,2,3,183,183.0,76.0,182.4754098360656,75.90710382513662,0,3,1.0
27,2,4,313,120.0,81.0,119.8817891373802,79.64536741214057,0,4,1.0
28,2,5,105,213.0,80.0,212.59047619047615,80.29523809523809,0,5,1.0
29,2,6,370,193.0,86.0,194.10270270270271,84.38648648648648,0,6,1.0
30,2,7,776,98.0,85.0,97.97036082474227,85.53994845360823,0,7,1.0
31,2,8,337,221.0,97.0,220.47477744807117,98.09495548961424,0,8,1.0
32,2,9,356,246.0,97.0,244.03370786516854,99.33988764044943,0,9,1.0
33,2,10,561,70.0,107.0,70.47950089126559,107.3939393939394,0,10,1.0
34,2,11,403,177.0,108.0,176.4317617866005,108.23821339950372,0,11,0.0
35,2,12,131,105.0,109.0,104.4885496183206,109.12213740458016,0,12,0.0
36,2,13,280,257.0,117.0,256.775,117.81785714285714,0,13,1.0
37,2,14,493,153.0,131.0,154.38336713995943,131.3184584178499,0,14,0.0
38,2,15,215,216.0,137.0,216.85116279069766,136.2232558139535,0,15,0.0
39,2,16,483,72.0,142.0,72.16149068322981,142.19047619047618,0,16,1.0
40,2,17,818,246.0,141.0,243.3997555012225,143.63080684596574,0,17,0.0
41,2,18,573,162.0,160.0,163.36474694589882,159.65095986038398,0,18,0.0
42,2,19,418,94.0,165.0,94.122009569378,164.73923444976074,0,19,1.0
43,2,20,442,256.0,169.0,256.1855203619909,168.80769230769232,0,20,1.0
44,2,21,422,214.0,174.0,214.31990521327012,174.43601895734596,0,21,0.0
45,2,22,298,124.0,181.0,124.11409395973156,180.6778523489933,0,22,0.0
46,2,23,517,94.0,203.0,93.82978723404257,203.12959381044487,0,23,1.0
